Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
08/02/21,13:30,17:00,Contacturen,Uitlegsessie BP,,
12/02/21,13:30,17:00,Contacturen,Voorbereiden gesprek klant + gesprek klant,,
13/02/21,14:30,17:00,Extern,Xamarin Tutorials maken / opzoekingen,,
14/02/21,15:30,17:30,Extern,Xamarin Tutorials maken / opzoekingen,,
21/02/21,15:00,16:00,Extern,OCR samples maken,,
22/02/21,13:30,18:00,Contacturen,Opzoekingen + vragen verdelen en opstellen + bellen met klant + OCR verder researchen + git problemen oplossen,,
25/02/21,11:00,13:00,Extern,Bug oplossen ondelete + OCR verder implementeren,,
26/02/21,09:30,11:45,Extern,Videos mevr Pollefliet over schrijven verslagen,,
26/02/21,13:30,17:00,Contacturen,OCR verder implementeren + starten met onderzoeken en implementeren van de reguliere expressies,,
01/03/21,13:30,17:30,Contacturen,OCR verder implementeren en vooral debuggen (nog niet gelukt),,
03/03/21,20:00,21:15,Extern,OCR debuggen en VS/emulator debuggen,,
05/03/21,13:30,17:00,Contacturen,OCR debuggen...,,
08/03/21,13:30,17:00,Contacturen,Verdelen verslagen en presentatie + beginnen schrijven aan verslagen,,
10/03/21,09:00,12:30,Extern,Verder schrijven verslagen + overlezen met de groep,,
10/03/21,20:00,20:45,Extern,Abstract schrijven + lezen van de readme,,
11/03/21,17:00,20:00,Extern,In groep de verslagen overlopen opmaken verbeteren en indiennen,,
