Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
08/02/21,13:30,16:30,Contacturen,Uitlegsessie VOP en kennismaking team,,
12/02/21,13:30,15:00,Contacturen,Voorbereiden gesprek klant,,
12/02/21,15:00,16:00,Contacturen,Gesprek klant,,
12/02/21,16:00,17:00,Contacturen,Voorbereiden sprint 1,,
13/02/21,01:30,02:00,Extern,Eerste UI design,,
13/02/21,17:30,19:00,Extern,Xamarin tutorials,,
14/02/21,12:20,12:50,Extern,Xamarin tutorials,,
14/02/21,13:40,14:30,Extern,Xamarin tutorials,,
15/02/21,13:30,19:00,Extern,Opzoekingswerk camera en OCR,,
16/02/21,18:00,19:20,Extern,Implementatie camera,,
17/02/21,15:00,16:30,Extern,Bugfix,,
19/02/21,13:30,17:00,Contacturen,Voorbereiden gesprek klant + camerabugfix op ios + testen op iphone,,
22/02/21,10:50,12:30,Extern,Camera implementeren in project,,
22/02/21,13:30,18:00,Contacturen,Voorbeiding gesprek klant + bespreking verder verloop + implementatie camera mergen (problemen git),,
24/02/21,09:15,10:15,Extern,Foto bewaren en tonen,,
24/02/21,18:20,19:20,Extern,Bugfix binding context,,
24/02/21,20:15,21:00,Extern,Icoontje proberen weergeven + uitproberen alerts bij invoeren velden,,
26/02/21,11:20,12:30,Extern,Klaarzetten omgeving voor het testen op ios + navigation fix,,
01/03/21,13:30,17:00,Contacturen,Proberen iets van OCR werkende te krijgen,,
04/03/21,18:30,19:30,Extern,OCR,,
05/03/21,10:20,12:30,Extern,OCR,,
05/03/21,13:30,17:00,Contacturen,OCR Debuggen,,
08/03/21,13:30,17:00,Contacturen,Verdelen verslagen en presentaties + begin verslag,,
09/03/21,20:00,23:00,Extern,Kennisclips schrijven + schrijven deel verslag,,
10/03/21,10:00,11:10,Extern,Gezamelijk overlopen en verbeteren verslag,,
10/03/21,15:00,16:20,Extern,Verderwerken verslagen,,
11/03/21,17:00,19:15,Extern,Verslagen overlopen in groep en verbeteren,,
11/03/21,20:20,20:50,Extern,Afwerken vereisten sprint 1,,
