Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
08/02/21,13:30,16:30,Contacturen,Uitlegsessie VOP en kennismaking team,,
12/02/21,13:30,15:00,Contacturen,Voorbereiden gesprek klant,,
12/02/21,15:00,16:00,Contacturen,Gesprek met de klant - intro,,
12/02/21,16:00,17:00,Contacturen,Voorbereiden sprint 1,,
13/02/21,16:00,18:00,Extern,tutorials xamarin en onderzoek naar de basismogelijkheden van de app + iOS emulator en device,,
15/02/21,13:30,17:00,Contacturen,Bespreking verder aanpak project + werkende camera in app,,
19/02/21,13:30,17:15,Contacturen,Bespreking meeting klant + camerabugg testen met deploy op iOS,,
20/02/21,18:15,20:00,Extern,Basis UML: sequentie en toestandsdiagram+ email testen,,
22/02/21,08:00,10:00,Contacturen,filmpjes communicatie,,
22/02/21,13:30,18:00,Contacturen,Bespreking klant voorbereiden + vcf email verder uitwerken + github issues voor samenvoegen project,,
25/02/21,19:00,20:00,Extern,App logo ipv standaard Xamarin logo + bugg fix onDelete knop,,
26/02/21,13:30,17:00,Contacturen,vcf email verder in de app steken + gitignore updaten + uitzoeken icon bugg + overleggen mogelijkheden,,
01/03/21,13:30,17:30,Contacturen,Logo taskbar oplossen + gitignore en mergeconflicten + nadenken om efficiënt floating labels,,
04/03/21,14:30,18:00,Extern,Floating labels code verder uitzoeken + dynamisch maken + oplossing voor in array steken gezocht maar niet gevonden,,
05/03/21,13:30,17:00,Contacturen,Vaste labels toevoegen +  verder uitzoeken binding voor floating labels,,
07/07/21,17:00,18:30,Extern, Verslag schrijven + toestandsdiagram aanpassen,,
08/07/21,11:30,12:30,Extern, Verslag 2de keer lezen en verbeteren op veelgemaakte fouten adhv kennisclips + logboek terugzetten,,
08/03/21,13:30,17:00,Contacturen,Online: tussentijds verslag (bespreking) + powerpoint presentatie opstarten + UML diagrammen bewerken + voorblad opstellen,,
09/03/21,17:00,19:30,Extern,Verslag VOP H2 high-levelsysteemmodel + sequentiediagram + databank schrijven,,
10/03/21,10:00,12:30,Extern,Verslag voor Mevr. Pollefliet volledig overlopen en aanpassen in groep - overleg,,
11/03/21,17:15,20:00,Extern,In groep de verslagen overlopen opmaken verbeteren en indiennen,,
